# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-echo
sample,rtt_cycles,rtt_us
1014,461,2.3050
1015,463,2.3150
1016,460,2.3000
1017,460,2.3000
1018,459,2.2950
1019,461,2.3050
1020,463,2.3150
1021,480,2.4000
1022,461,2.3050
1023,461,2.3050
1024,460,2.3000
1025,461,2.3050
1026,463,2.3150
1027,461,2.3050
1028,461,2.3050
1029,462,2.3100
1030,462,2.3100
1031,461,2.3050
1032,463,2.3150
1033,462,2.3100
1034,465,2.3250
1035,462,2.3100
1036,460,2.3000
1037,458,2.2900
1038,488,2.4400
1039,460,2.3000
1040,462,2.3100
1041,461,2.3050
1042,460,2.3000
1043,462,2.3100
1044,461,2.3050
1045,461,2.3050
1046,463,2.3150
1047,462,2.3100
1048,465,2.3250
1049,460,2.3000
1050,461,2.3050
1051,461,2.3050
1052,460,2.3000
1053,466,2.3300
1054,462,2.3100
1055,461,2.3050
1056,463,2.3150
1057,464,2.3200
1058,461,2.3050
1059,461,2.3050
1060,460,2.3000
1061,460,2.3000
1062,465,2.3250
1063,459,2.2950
1064,462,2.3100
1065,462,2.3100
1066,462,2.3100
1067,462,2.3100
1068,463,2.3150
1069,460,2.3000
1070,460,2.3000
1071,461,2.3050
1072,462,2.3100
1073,462,2.3100
1074,467,2.3350
1075,462,2.3100
1076,462,2.3100
1077,459,2.2950
1078,459,2.2950
1079,461,2.3050
1080,462,2.3100
1081,461,2.3050
1082,487,2.4350
1083,460,2.3000
1084,462,2.3100
1085,461,2.3050
1086,461,2.3050
1087,461,2.3050
1088,462,2.3100
1089,461,2.3050
1090,462,2.3100
1091,461,2.3050
1092,480,2.4000
1093,461,2.3050
1094,460,2.3000
1095,461,2.3050
1096,462,2.3100
1097,487,2.4350
1098,461,2.3050
1099,461,2.3050
1100,463,2.3150
1101,461,2.3050
1102,461,2.3050
1103,460,2.3000
1104,467,2.3350
1105,461,2.3050
1106,462,2.3100
1107,462,2.3100
1108,465,2.3250
1109,460,2.3000
1110,485,2.4250
1111,462,2.3100
1112,460,2.3000
1113,461,2.3050
1114,461,2.3050
1115,462,2.3100
1116,462,2.3100
1117,460,2.3000
1118,461,2.3050
1119,463,2.3150
1120,487,2.4350
1121,464,2.3200
1122,463,2.3150
1123,463,2.3150
1124,466,2.3300
1125,461,2.3050
1126,466,2.3300
1127,461,2.3050
1128,463,2.3150
1129,462,2.3100
1130,463,2.3150
1131,460,2.3000
1132,462,2.3100
1133,460,2.3000
1134,461,2.3050
1135,461,2.3050
1136,467,2.3350
1137,467,2.3350
