# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-steane
sample,rtt_cycles,rtt_us
1004,462,2.3100
1005,461,2.3050
1006,461,2.3050
1007,463,2.3150
1008,461,2.3050
1009,461,2.3050
1010,461,2.3050
1011,459,2.2950
1012,471,2.3550
1013,462,2.3100
1014,463,2.3150
1015,461,2.3050
1016,460,2.3000
1017,461,2.3050
1018,459,2.2950
1019,486,2.4300
1020,460,2.3000
1021,461,2.3050
1022,465,2.3250
1023,462,2.3100
1024,464,2.3200
1025,461,2.3050
1026,461,2.3050
1027,461,2.3050
1028,464,2.3200
1029,461,2.3050
1030,462,2.3100
1031,463,2.3150
1032,461,2.3050
1033,461,2.3050
1034,459,2.2950
1035,460,2.3000
1036,460,2.3000
1037,462,2.3100
1038,463,2.3150
1039,463,2.3150
1040,461,2.3050
1041,459,2.2950
1042,460,2.3000
1043,462,2.3100
1044,460,2.3000
1045,462,2.3100
1046,462,2.3100
1047,461,2.3050
1048,462,2.3100
1049,459,2.2950
1050,460,2.3000
1051,461,2.3050
1052,460,2.3000
1053,462,2.3100
1054,463,2.3150
1055,461,2.3050
1056,461,2.3050
1057,461,2.3050
1058,460,2.3000
1059,461,2.3050
1060,487,2.4350
1061,461,2.3050
1062,473,2.3650
1063,462,2.3100
1064,467,2.3350
1065,459,2.2950
1066,464,2.3200
1067,460,2.3000
1068,462,2.3100
1069,463,2.3150
1070,462,2.3100
1071,465,2.3250
1072,459,2.2950
1073,462,2.3100
1074,465,2.3250
1075,461,2.3050
1076,462,2.3100
1077,460,2.3000
1078,462,2.3100
1079,462,2.3100
1080,461,2.3050
1081,460,2.3000
1082,460,2.3000
1083,461,2.3050
1084,461,2.3050
1085,462,2.3100
1086,465,2.3250
1087,467,2.3350
1088,461,2.3050
1089,460,2.3000
1090,460,2.3000
1091,462,2.3100
1092,462,2.3100
1093,462,2.3100
1094,461,2.3050
1095,461,2.3050
1096,460,2.3000
1097,460,2.3000
1098,460,2.3000
1099,460,2.3000
1100,460,2.3000
1101,460,2.3000
1102,461,2.3050
1103,461,2.3050
1104,461,2.3050
1105,460,2.3000
1106,461,2.3050
1107,461,2.3050
1108,462,2.3100
1109,462,2.3100
1110,461,2.3050
1111,480,2.4000
1112,460,2.3000
1113,478,2.3900
1114,461,2.3050
1115,460,2.3000
1116,461,2.3050
1117,460,2.3000
1118,461,2.3050
1119,465,2.3250
1120,459,2.2950
1121,461,2.3050
1122,460,2.3000
1123,459,2.2950
1124,460,2.3000
1125,462,2.3100
1126,462,2.3100
1127,461,2.3050
1128,460,2.3000
1129,459,2.2950
1130,460,2.3000
1131,459,2.2950
1132,460,2.3000
1133,478,2.3900
1134,458,2.2900
1135,462,2.3100
1136,459,2.2950
1137,460,2.3000
1138,462,2.3100
1139,459,2.2950
1140,468,2.3400
1141,461,2.3050
1142,460,2.3000
1143,461,2.3050
1144,459,2.2950
1145,460,2.3000
1146,460,2.3000
1147,462,2.3100
1148,462,2.3100
1149,462,2.3100
1150,461,2.3050
1151,462,2.3100
1152,459,2.2950
1153,462,2.3100
1154,461,2.3050
1155,460,2.3000
1156,463,2.3150
1157,462,2.3100
1158,462,2.3100
1159,463,2.3150
1160,461,2.3050
1161,461,2.3050
1162,462,2.3100
1163,462,2.3100
1164,461,2.3050
1165,478,2.3900
1166,462,2.3100
1167,462,2.3100
1168,460,2.3000
1169,461,2.3050
1170,460,2.3000
1171,465,2.3250
1172,463,2.3150
1173,462,2.3100
1174,460,2.3000
1175,463,2.3150
1176,459,2.2950
1177,470,2.3500
1178,459,2.2950
1179,459,2.2950
1180,461,2.3050
1181,461,2.3050
1182,461,2.3050
1183,462,2.3100
1184,459,2.2950
1185,459,2.2950
1186,459,2.2950
1187,461,2.3050
1188,461,2.3050
1189,461,2.3050
1190,461,2.3050
1191,462,2.3100
1192,460,2.3000
1193,460,2.3000
1194,462,2.3100
1195,464,2.3200
1196,461,2.3050
1197,463,2.3150
1198,462,2.3100
1199,461,2.3050
1200,461,2.3050
1201,459,2.2950
1202,460,2.3000
1203,464,2.3200
1204,462,2.3100
1205,459,2.2950
1206,462,2.3100
1207,462,2.3100
1208,460,2.3000
1209,462,2.3100
1210,458,2.2900
1211,460,2.3000
1212,461,2.3050
1213,461,2.3050
1214,461,2.3050
1215,463,2.3150
1216,459,2.2950
1217,460,2.3000
1218,461,2.3050
1219,460,2.3000
1220,462,2.3100
1221,462,2.3100
1222,461,2.3050
1223,461,2.3050
1224,461,2.3050
1225,461,2.3050
1226,461,2.3050
1227,460,2.3000
1228,461,2.3050
1229,462,2.3100
1230,462,2.3100
1231,463,2.3150
1232,460,2.3000
1233,462,2.3100
1234,461,2.3050
1235,459,2.2950
1236,461,2.3050
1237,460,2.3000
1238,461,2.3050
1239,462,2.3100
1240,463,2.3150
1241,461,2.3050
1242,462,2.3100
1243,460,2.3000
1244,461,2.3050
1245,461,2.3050
1246,461,2.3050
1247,462,2.3100
1248,461,2.3050
1249,461,2.3050
1250,460,2.3000
1251,460,2.3000
1252,461,2.3050
1253,465,2.3250
1254,465,2.3250
1255,468,2.3400
1256,460,2.3000
1257,460,2.3000
1258,460,2.3000
1259,459,2.2950
1260,461,2.3050
1261,461,2.3050
1262,461,2.3050
1263,463,2.3150
1264,461,2.3050
1265,460,2.3000
1266,461,2.3050
1267,460,2.3000
1268,461,2.3050
1269,466,2.3300
1270,462,2.3100
1271,462,2.3100
1272,459,2.2950
1273,461,2.3050
1274,461,2.3050
1275,460,2.3000
1276,462,2.3100
1277,461,2.3050
1278,461,2.3050
1279,461,2.3050
1280,459,2.2950
1281,459,2.2950
1282,463,2.3150
1283,463,2.3150
1284,461,2.3050
1285,481,2.4050
1286,462,2.3100
1287,461,2.3050
1288,461,2.3050
1289,461,2.3050
1290,460,2.3000
1291,459,2.2950
1292,459,2.2950
1293,465,2.3250
1294,462,2.3100
1295,464,2.3200
1296,459,2.2950
1297,467,2.3350
1298,460,2.3000
1299,460,2.3000
1300,461,2.3050
1301,462,2.3100
1302,462,2.3100
1303,462,2.3100
1304,460,2.3000
1305,461,2.3050
1306,459,2.2950
1307,465,2.3250
1308,465,2.3250
1309,461,2.3050
1310,464,2.3200
1311,464,2.3200
1312,460,2.3000
1313,461,2.3050
1314,460,2.3000
1315,460,2.3000
1316,461,2.3050
1317,460,2.3000
1318,461,2.3050
1319,462,2.3100
1320,461,2.3050
